,playerName,ShotQualityImpactO,ShotQualityImpactD
0,Vince Carter,0.22890306600708743,-0.4388081766643948
1,Dirk Nowitzki,0.8662914529801031,0.17972456227721656
2,Jason Terry,0.132109142765642,0.39683292966223865
3,Manu Ginobili,0.7803451653907617,0.26651326989688834
4,Jamal Crawford,-1.1346234507873025,-0.2088608675135511
5,Tyson Chandler,-0.20955650215364352,0.2531380044809828
6,Pau Gasol,0.6974130674983978,-0.26275694516441
7,Joe Johnson,-0.2171025912970336,-0.5518711942828678
8,Richard Jefferson,-0.3660675448007346,0.040520978102591025
9,Zach Randolph,-1.0421110118817056,-0.5565438893170933
10,Tony Parker,0.5645674140064149,0.34718407052809813
11,Nene,0.5297017493466867,0.05830084323128383
12,LeBron James,2.773176106298001,0.4977594429339559
13,Carmelo Anthony,-0.37776029515893034,-0.8983462085752862
14,Dwyane Wade,0.6356981053286981,-0.23063939296667418
15,David West,0.2570460689955748,0.39469642147840117
16,Zaza Pachulia,0.11243984773839433,0.2773432994178202
17,Kyle Korver,2.2231929216543986,0.3772360561631868
18,Dwight Howard,0.8464668192565344,1.0000187343844114
19,Shaun Livingston,0.19552283102888773,-0.036675318775515525
20,Devin Harris,0.4141067596837265,0.4160784685579982
21,Andre Iguodala,1.237763865747503,0.13808921383731487
22,Al Jefferson,-0.4944741751197601,0.1737865131578888
23,JR Smith,1.1344037000186218,0.12398450718074841
24,Jameer Nelson,0.5123027891089534,0.4246373486014142
25,Tony Allen,0.13955165478262765,-0.39883206483113354
26,Trevor Ariza,1.2736869614404358,-0.3723144397214964
27,Damien Wilkins,-0.5025868685679596,0.13196262763362707
28,Andrew Bogut,-0.8115587002861957,0.30700106025435875
29,Marvin Williams,-0.3831534105233969,-0.5527382710449755
30,Chris Paul,1.2371256002452964,0.3188816618716904
31,Raymond Felton,-0.6328562070060051,-0.2113376871436566
32,Channing Frye,1.0952501402882544,0.7119556289700777
33,Gerald Green,0.5317057953781656,-0.38978003236863074
34,Jarrett Jack,0.0020912639346929926,0.3541214135830381
35,Ian Mahinmi,0.017603845767112655,-0.19382320641440476
36,CJ Miles,1.135766588638871,-0.6096691721271178
37,Ersan Ilyasova,-0.45716225495123713,0.23808777015554447
38,Lou Williams,1.018588533780781,0.2799840622649913
39,Amir Johnson,-0.27045841643007446,0.7426929474340385
40,Marcin Gortat,0.8389090420901121,0.016883759229287493
41,Jose Calderon,-0.27988746365363576,-0.51343946299236
42,LaMarcus Aldridge,-0.0889775938524137,0.7590217719545366
43,Rudy Gay,-0.18615972833770414,-0.054433872900655794
44,JJ Redick,1.6272061427114166,0.29228955031200315
45,Thabo Sefolosha,-0.4666259688896238,-0.22376011671542287
46,Rajon Rondo,0.7976336599925856,-0.1521169846177266
47,Kyle Lowry,1.315101837083481,-0.016349321900941332
48,PJ Tucker,0.5616370840025388,0.15293501095377027
49,Paul Millsap,-0.7861752979234808,0.2590027089281495
50,J.J. Barea,1.019426811815621,-0.052143048183988586
51,Kevin Durant,2.2932605628398988,-0.18143292510100578
52,Al Horford,1.7995026434590524,0.3733072369439849
53,Mike Conley,1.023524075883142,0.2599028056073236
54,Jeff Green,0.09621693202491434,0.5030032602949538
55,Corey Brewer,0.37565671723561017,-0.5076754919463384
56,Brandan Wright,0.4647768665821358,0.39569811065598065
